Activity Year, Respondent ID, Agency Code, Federal Tax ID, Respondent Name, Respondent Mailing Address, Respondent City, Respondent State, Respondent ZIP Code, Parent Name, Parent Address, Parent City, Parent State, Parent ZIP Code, Respondent Name (Panel), Respondent City (Panel), Respondent State (Panel), Assets, Other Lender Code, Region Code, LAR Count, Validity Error
2015,0000002068,1,46-0208038,FIRST DAKOTA NATIONAL BANK,225 CEDAR ST,YANKTON,SD,57078-0156,,,,,,FIRST DAKOTA NB,YANKTON,SD,1104082,0,4,756,N
2015,0000002137,1,23-0906608,NATIONAL PENN BANK,PO BOX 547,BOYERTOWN,PA,19512,NATIONAL PENN BANCSHARES INC.,PO BOX 547,BOYERTOWN,PA,19512,NATIONAL PENN BK,ALLENTOWN,PA,9525061,0,1,2615,N
2015,0000002221,1,62-1203303,FNB OF MIDDLE TENNESSEE,200 EAST MAIN STREET,MCMINNVILLE,TN,37110,FIRST MCMINNVILLE CORPORATION,200 EAST MAIN STREET,MCMINNVILLE,TN,37110,FIRST NB OF MCMINNVILLE,MC MINNVILLE,TN,476170,0,2,1020,N
2015,0000002234,1,35-0508403,FIRST MERCHANTS BANK  NA,200 E. JACKSON ST.,MUNCIE,IN,47305,,,,,,FIRST MRCH BK NA,MUNCIE,IN,5801944,0,3,4818,N
2015,0000002242,1,37-0317760,HAVANA NATIONAL BANK,112 S. ORANGE ST.,HAVANA,IL,62644,,,,,,HAVANA NB,HAVANA,IL,214750,0,3,84,N
2015,0000002302,1,34-4186000,FIRST NATIONAL BANK,120 NORTH STREET,BELLEVUE,OH,44811,,,,,,FIRST NB,BELLEVUE,OH,160140,0,3,179,N
2015,0000002311,1,01-0039505,CAMDEN NATIONAL BANK,2 ELM STREET,CAMDEN,ME,04856,CAMDEN NATIONAL CORPORATION,245 COMMERCIAL STREET,ROCKPORT,ME,04856,CAMDEN NB,CAMDEN,ME,2762686,0,1,3055,N
2015,0000002360,1,31-0352330,LCNB NATIONAL BANK,2 N BROADWAY,LEBANON,OH,45036,,,,,,LCNB NB,LEBANON,OH,1106092,0,3,802,N
2015,0000002449,1,31-0373340,MERCHANTS NATIONAL BANK,100 NORTH HIGH STREET,HILLSBORO,OH,45133,,,,,,MERCHANTS NB,HILLSBORO,OH,639950,0,3,514,N
2015,0000002477,1,75-0641890,FIRST NATIONAL BANK OF WEATHER,220 PALO PINTO ST,WEATHERFORD,TX,76086,FIRST BAIRD BANCSHARES,4009 AIRPORT FREEWAY,BEDFORD,TX,76021,FIRST NB,WEATHERFORD,TX,203280,0,2,52,N
2015,0000002503,1,36-1366389,HOMETOWN NATIONAL BANK,260 BUCKLIN STREET,LASALLE,IL,61301,LASALLE BANCORP,260 BUCKLIN ST,LASALLE,IL,61301,HOMETOWN NB,LA SALLE,IL,211212,0,3,103,N
2015,0000002515,1,23-0559393,THE EPHRATA NATIONAL BANK,31 EAST MAIN STREET PO BOX 457,EPHRATA,PA,17522-0457,ENB FINANCIAL CORP,31 EAST MAIN STREET,EPHRATA,PA,17522,EPHRATA NB,EPHRATA,PA,856969,0,1,876,N
2015,0000002725,1,39-0159135,FIRST NATIONAL BANK AND TRUST,345 E GRAND AVE,BELOIT,WI,53511,,,,,,FIRST NAT B&TC,BELOIT,WI,819613,0,3,740,N
2015,0000002747,1,35-1076581,HORIZON BANK  N.A.,515 FRANKLIN ST,MICHIGAN CITY,IN,46360,,,,,,HORIZON BK NA,MICHIGAN CITY,IN,2079078,0,3,3817,N
2015,0000002782,1,48-0477525,INTRUST BANK  N.A.,105 N. MAIN,WICHITA,KS,67202,INTRUST FINANCIAL CORPORATION,105 N MAIN,WICHITA,KS,67202,INTRUST BK NA,WICHITA,KS,4950396,0,4,1960,N
2015,0000003060,1,47-0206095,JONES NATIONAL BANK AND TRUST,PO BOX 469,SEWARD,NE,68434,,,,,,JONES NB&TC OF SEWARD,SEWARD,NE,234728,0,4,62,N
2015,0000003105,1,42-0253313,FIRST NATIONAL BANK,316 E BREMER AVE,WAVERLY,IA,50677,FIRST OF WAVERLY CORP,316 E BREMER,WAVERLY,IA,50677-0837,FIRST NB,WAVERLY,IA,324155,0,4,213,N
2015,0000003124,1,42-0943319,SECURITY NB OF SIOUX CITY IA,601 PIERCE STREET,SIOUX CITY,IA,51101,,,,,,SECURITY NB SIOUX CITY,SIOUX CITY,IA,856496,0,4,499,N
2015,0000003147,1,23-0906630,THE NATIONAL BANK OF MALVERN,2 WEST KING STREET,MALVERN,PA,19355,MALVERN BANK CORP,KING STREET & WARREN AVE,MALVERN,PA,19355,NATIONAL BK OF MALVERN,MALVERN,PA,143837,0,1,40,N
2015,0000003180,1,48-0273305,FIRST NATIONAL BANK HUTCHINSON,PO BOX 913,HUTCHINSON,KS,67504-0913,FIRST KANSAS BANCSHARES,PO BOX 913,HUTCHINSON,KS,67504-0913,FIRST NB OF HUTCHINSON,HUTCHINSON,KS,621131,0,4,246,N
2015,0000003393,1,46-0189380,THE FIRST NB IN SIOUX FALLS,100 SOUTH PHILLIPS AVENUE,SIOUX FALLS,SD,57117-5186,,,,,,FIRST NB IN SIOUX FALLS,SIOUX FALLS,SD,1092493,0,4,407,N
2015,0000003533,1,75-0127095,THE FNB BALLINGER,911 HUTCHINGS AVE,BALLINGER,TX,76821,,,,,,FIRST NB,BALLINGER,TX,145753,0,2,41,N
2015,0000003654,1,34-0214400,FARMERS NATIONAL BANK,1 S. MAIN ST.,NILES,OH,44446,FARMERS NATIONAL BANC CORP,20 S BROAD STREET,CANFIELD,OH,44406,THE FARMERS NB OF CANFIELD,CANFIELD,OH,1121554,0,3,924,N
2015,0000003656,1,64-0156695,CADENCE BANK  N.A.,2100 3RD AVE N,BIRMINGHAM,AL,35203,CADENCE BANCORP LLC,2800 POST OAK BOULEVARD  SUITE 3800,HOUSTON,TX,77056,CADENCE BK NA,BIRMINGHAM,AL,7925450,0,2,3956,N
2015,0000003711,1,37-0160185,THE ATLANTA NATIONAL BANK,105 SW CHURCH ST.,ATLANTA,IL,61723,,,,,,ATLANTA NB,ATLANTA,IL,60752,0,3,18,N
2015,0000003724,1,39-0464543,FIRST NATIONAL BANK FOX VALLEY,550 S GREEN BAY RD,NEENAH,WI,54956,,,,,,FIRST NB FOX VALLEY,NEENAH,WI,419356,0,3,407,N
2015,0000003727,1,75-0298448,THE FIRST NATIONAL BANK OF GRA,101 E BRIDGE ST,GRANBURY,TX,76048,FIRST GRANBURY BANCORPORATION,101 E BRIDGE ST,GRANBURY,TX,76048,FIRST NB,GRANBURY,TX,482366,0,2,549,N
2015,0000003817,1,16-1073040,CANANDAIGUA NATIONAL BANK,72 SOUTH MAIN STREET,CANANDAIGUA,NY,14424,CNC CORPORATION,72 SOUTH MAIN STREET,CANANDAIGUA,NY,14424,CANANDAIGUA NB&TC,CANANDAIGUA,NY,2092417,0,1,1222,N
2015,0000003956,1,91-0135040,BAKER BOYER BANK,7 W. MAIN,WALLA WALLA,WA,99362,BAKER BOYER BANCORP,P.O. BOX 2175,WALLA WALLA,WA,99362,BAKER BOYER NB,WALLA WALLA,WA,552055,0,4,227,N
2015,0000004039,1,23-0873877,THE FIRST NATIONAL BANK OF MIF,2 NORTH MAIN STREET  PO BOX 96,MIFFLINTOWN,PA,17059,FIRST COMMUNITY FINANCIAL CORP,2 NORTH MAIN STREET  PO BOX 96,MIFFLINTOWN,PA,17059,FIRST NB OF MIFFLINTOWN,MIFFLINTOWN,PA,452200,0,1,388,N
2015,0000004076,1,74-0775779,FIRST NATIONAL BANK MCGREGOR,401 S MAIN,MCGREGOR,TX,76657,,,,,,THE FIRST NB MCGREGOR,MCGREGOR,TX,153938,0,2,175,N
2015,0000004093,1,74-0501835,FIRST NATIONAL BANK OF BASTROP,PO DRAWER F,BASTROP,TX,78602,BASTROP BANCSHARES  INC.,PO DRAWER F,BASTROP,TX,78602,FIRST NB,BASTROP,TX,482534,0,2,416,N
2015,0000004097,1,74-0640690,NATIONAL BANK,P O BOX 779,GATESVILLE,TX,76528,NATIONAL UNITED BANCSHARES INC,P O BOX 779,GATESVILLE,TX,76528,NATIONAL BK,GATESVILLE,TX,575784,0,2,178,N
2015,0000004107,1,53-0114960,THE NATIONAL CAPITAL BANK,316 PENNSYLVANIA AVENUE SE,WASHINGTON,DC,20003,,,,,,NATIONAL CAPITAL BK OF WA,WASHINGTON,DC,420912,0,1,34,N
2015,0000004137,1,39-0638020,THE STEPHENSON NAT'L BANK & TR,1820 HALL AVE  PO BOX 137,MARINETTE,WI,54143,,,,,,STEPHENSON NB&TC,MARINETTE,WI,437024,0,3,412,N
2015,0000004166,1,75-0264200,FIRST FINANCIAL BANK N. A.,400 PINE ST,ABILENE,TX,79601,,,,,,FIRST FNCL BK NA,ABILENE,TX,5816065,0,2,5074,N
2015,0000004208,1,74-0702223,FIRST NATIONAL BANK OF HUNTSVI,PO BOX 659       1300 11TH STREET,HUNTSVILLE,TX,77342-0659,,,,,,FIRST NB,HUNTSVILLE,TX,459067,0,2,321,N
2015,0000004230,1,11-1380045,SUFFOLK COUNTY NATIONAL BANK,4 WEST SECOND STREET,RIVERHEAD,NY,11901,SUFFOLK BANCORP,4 WEST SECOND ST,RIVERHEAD,NY,11901,SUFFOLK CTY NB,RIVERHEAD,NY,1894943,0,1,207,N
2015,0000004238,1,74-0505903,FIRST NATIONAL BANK OF BEEVILL,1400 E HOUSTON STREET,BEEVILLE,TX,78102,,,,,,FIRST NB,BEEVILLE,TX,318698,0,2,60,N
2015,0000004241,1,74-0507285,FIRST NATL BANK OF BELLVILLE,PO BOX 128,BELLVILLE,TX,77418-0128,INDUSTRY BANCSHARES INC,PO BOX 66,INDUSTRY,TX,78944-0066,FIRST NB,BELLVILLE,TX,553285,0,2,84,N
2015,0000004246,1,75-0202612,COMANCHE NATIONAL BANK,P.O. BOX 191,COMANCHE,TX,76442,,,,,,COMANCHE NB,COMANCHE,TX,336506,0,2,116,N
2015,0000004265,1,75-0150372,LEGEND BANK,101 TARRANT ST,BOWIE,TX,76230,LEGEND BANCORP  INC,101 TARRANT ST,BOWIE,TX,76230,LEGEND BK NA,BOWIE,TX,617102,0,2,248,N
2015,0000004284,1,48-1174053,CENTRAL NATIONAL BANK,PO BOX 1029,JUNCTION CITY,KS,66441,,,,,,CENTRAL NB,JUNCTION CITY,KS,890389,0,4,1497,N
2015,0000004596,1,36-1577458,OLD SECOND NATIONAL BANK,37 S RIVER ST,AURORA,IL,60506,,,,,,OLD SECOND NB,AURORA,IL,2040425,0,3,1626,N
2015,0000004620,1,39-0280510,FIRST NATIONAL BANK,140 W HURON STREET,BERLIN,WI,54923,FIRST BERLIN BANCORP,PO BOX 310,BERLIN,WI,54923,FIRST NB OF BERLIN,BERLIN,WI,363344,0,3,364,N
2015,0000004701,1,75-0456915,TEXAS HERITAGE NATIONAL BANK,107 WEBB STREET,DAINGERFIELD,TX,75638,,,,,,TEXAS HERITAGE NB,DAINGERFIELD,TX,118946,0,2,61,N
2015,0000004742,1,48-0216075,SUNFLOWER BANK  N.A.,3025 CORTLAND CIRCLE - PO BOX 800,SALINA,KS,67401,,,,,,SUNFLOWER BK NA,SALINA,KS,1723296,0,4,1133,N
2015,0000004860,1,48-0334515,MIDLAND NATIONAL BANK,527 N MAIN,NEWTON,KS,67114,MIDLAND FINANCIAL CORP,PO BOX 427,NEWTON,KS,67114,MIDLAND NB OF NEWTON,NEWTON,KS,137402,0,4,180,N
2015,0000004934,1,37-0206222,THE FIRST NATIONAL BANK OF CAR,201 E MAIN STREET  P.O. BOX 70,CARMI,IL,62821,SOUTHERN ILLINOIS BANCORP INC,201 E MAIN STREET  P.O. BOX 70,CARMI,IL,62821,FIRST NB OF CARMI,CARMI,IL,408043,0,3,293,N
2015,0000004975,1,39-0447799,BANK FIRST NATIONAL,402 N 8TH STREET,MANITOWOC,WI,54220,,,,,,BANK FIRST NAT,MANITOWOC,WI,1101410,0,3,859,N
2015,0000004994,1,37-0562445,THE FIRST NATIONAL BANK,432 W GALLATIN,VANDALIA,IL,62471,,,,,,FIRST NB,VANDALIA,IL,311810,0,3,235,N
2015,0000005073,1,25-0660700,NEXTIER BANK N.A.,245 PITTSBURGH RD,BUTLER,PA,16001,,,,,,NEXTIER BK NA,KITTANNING,PA,948515,0,1,470,N
2015,0000005203,1,75-0634430,WAGGONER NATIONAL BANK,1818 TEXAS ST,VERNON,TX,76384,,,,,,WAGGONER NB,VERNON,TX,272990,0,2,104,N
2015,0000005224,1,73-0394693,FIRST NATIONAL BANK OF PAWNEE,PO BOX 366,PAWNEE,OK,74058,,,,,,FIRST NB OF PAWNEE,PAWNEE,OK,69061,0,2,29,N
2015,0000005263,1,62-0201100,FIRST CITIZENS NATIONAL BANK,200 WEST COURT STREET,DYERSBURG,TN,38024,FIRST CITIZENS BANCSHARES,P.O. BOX 370,DYERSBURG,TN,38025-0370,FIRST CITIZENS NB,DYERSBURG,TN,1232089,0,2,745,N
2015,0000005267,1,35-0613236,RIDDELL NATIONAL BANK,P O BOX 340,BRAZIL,IN,47834,,,,,,RIDDELL NB,BRAZIL,IN,187700,0,3,302,N
2015,0000005275,1,74-0560700,CITY NATIONAL BANK OF TAYLOR,P O BOX 1099,TAYLOR,TX,76574,,,,,,CITY NB,TAYLOR,TX,192860,0,2,143,N
2015,0000005288,1,75-0291493,FIRST NATIONAL BANK OF GILMER,206 U. S. HIGHWAY 271 NORTH,GILMER,TX,75644,,,,,,FIRST NB,GILMER,TX,325444,0,2,198,N
2015,0000005413,1,83-0141300,RAWLINS NATIONAL BANK,PO BOX 100,RAWLINS,WY,82301-0100,,,,,,RAWLINS NB,RAWLINS,WY,165206,0,4,40,N
2015,0000005425,1,34-4173465,LIBERTY NATIONAL BANK,100 E FRANKLIN ST,KENTON,OH,43326,,,,,,LIBERTY NB,ADA,OH,240643,0,3,279,N
2015,0000005466,1,75-0568556,FIRST NATIONL BANK OF SONORA,PO BOX 798,SONORA,TX,76950,FIRST SONORA BANCSHARES INC,102 EAST MAIN ST,SONORA,TX,76950,FIRST NB,SONORA,TX,354373,0,2,364,N
2015,0000005481,1,25-0472020,THE FARMERS NATIONAL BANK OF E,612 MAIN STREET  PO DRAWER D,EMLENTON,PA,16373,EMCLAIRE FINANCIAL,612 MAIN STREET,EMLENTON,PA,16373,FARMERS NB,EMLENTON,PA,580435,0,1,689,N
2015,0000005484,1,74-0557720,CITIZENS NATIONAL BANK,118  S HOUSTON,CAMERON,TX,76520,CENTRAL TEXAS FINANCIAL CORP,118 S HOUSTON,CAMERON,TX,76520,CITIZENS NB,CAMERON,TX,394768,0,2,46,N
2015,0000005528,1,62-0201370,FIRST NATIONAL BANK,100 W HIGH ST,MANCHESTER,TN,37355,,,,,,FIRST NB OF MANCHESTER,MANCHESTER,TN,231925,0,2,151,N
2015,0000005547,1,73-0181535,FIRST NATIONAL BANK & TRUST CO,P O BOX 1130,CHICKASHA,OK,73023-1130,FIRST INDEPENDENT BANCORP,P O BOX 1130,CHICKASHA,OK,73023-1130,FIRST NB&TC,CHICKASHA,OK,487507,0,2,342,N
2015,0000005581,1,75-0358895,AUSTIN BANK TEXAS NA,PO BOX 1537,WHITEHOUSE,TX,75791,,,,,,AUSTIN BK TX NA,JACKSONVILLE,TX,1532354,0,2,1192,N
2015,0000005599,1,25-0640500,MARS NATIONAL BANK,P O BOX 927,MARS,PA,16046,,,,,,MARS NB,MARS,PA,361399,0,1,521,N
2015,0000005628,1,74-0896848,FIRST NATIONAL BANK OF SHINER,103 W 7TH STREET,SHINER,TX,77984,INDUSTRY BANCSHARES,7910 ERNST PARKWAY,INDUSTRY,TX,78944,FIRST NB,SHINER,TX,552760,0,2,112,N
2015,0000005629,1,35-0320211,FCN BANK  NATIONAL ASSOCIATION,501 MAIN STREET  PO BOX 37,BROOKVILLE,IN,47012,,,,,,FCN BK NA,BROOKVILLE,IN,412825,0,3,386,N
2015,0000005658,1,39-0534160,THE PESHTIGO NATIONAL BANK,250 FRENCH STREET,PESHTIGO,WI,54157,,,,,,PESHTIGO NB,PESHTIGO,WI,190874,0,3,141,N
2015,0000005674,1,75-0665079,FIRST NATIONAL BANK,315 N MAIN,WINNSBORO,TX,75494,,,,,,FIRST NB,WINNSBORO,TX,138410,0,2,64,N
2015,0000005737,1,75-0619485,FIRST NATIONAL BANK OF TRENTON,PO BOX 4,TRENTON,TX,75490,,,,,,FIRST NB,TRENTON,TX,160030,0,2,1467,N
2015,0000005741,1,75-0261226,GILMER NATIONAL BANK,P O BOX 460,GILMER,TX,75644-0460,,,,,,GILMER NB,GILMER,TX,229923,0,2,75,N
2015,0000005750,1,74-2681037,FIRST NATIONAL BANK TEXAS,507 N. GRAY ST.,KILLEEN,TX,76541,FIRST COMMUNITY BANCSHARES INC,7500 SAN FELIPE SUITE 990,HOUSTON,TX,77063,DBA FIRST CONVENIENCE BK,KILLEEN,TX,1306281,0,2,1548,N
2015,0000005753,1,73-0185627,CITY NATIONAL BANK,PO BOX 2009,LAWTON,OK,73502,,,,,,CITY NB&TC,LAWTON,OK,319726,0,2,365,N
2015,0000005774,1,74-0792811,FIRST NATIONAL BANK OF MOODY,101 7TH ST,MOODY,TX,76557,REYNOLDS  TEAGUE  THURMAN FINA,P.O. BOX 128,MOODY,TX,76557,FIRST NB,MOODY,TX,46421,0,2,38,N
2015,0000005815,1,36-1077820,RESOURCE BANK  N.A.,555 BETHANY ROAD,DEKALB,IL,60115,,,,,,RESOURCE BK NA,DEKALB,IL,381921,0,3,133,N
2015,0000005842,1,35-0389890,HOME NATIONAL BANK,117 E MAIN ST,THORNTOWN,IN,46071,,,,,,HOME NB OF THORNTOWN,THORNTOWN,IN,104711,0,3,40,N
2015,0000005850,1,74-0766260,FIRST NATIONAL BANK OF CENTRAL,1835 N. VALLEY MILLS DR.,WACO,TX,76710,,,,,,FIRST NB CENTRAL TX,WACO,TX,732244,0,2,193,N
2015,0000005886,1,45-0183848,RAMSEY NATIONAL BANK,PO BOX 160,DEVILS LAKE,ND,58301-0160,RAMSEY FINANCIAL CORP,PO BOX 160,DEVILS LAKE,ND,58301-0160,RAMSEY NB,DEVILS LAKE,ND,266273,0,3,84,N
2015,0000005929,1,71-0471692,BEAR STATE BANK,1401 HWY 62/65 N,HARRISON,AR,72602,BEAR STATE FINANCIAL,900 S. SHACKLEFORD RD  STE 401,LITTLE ROCK,AR,72211,BEAR ST BK  NA,LITTLE ROCK,AR,616524,0,2,1235,N
2015,0000005932,1,75-0373615,FIRST NATIONAL BANK OF KEMP,PO BOX 587,KEMP,TX,75143,,,,,,FIRST NB,KEMP,TX,55570,0,2,16,N
2015,0000006030,1,84-0248743,THE FIRST NB OF LAS ANIMAS,535 BENT AVENUE,LAS ANIMAS,CO,81054,,,,,,FIRST NB OF LAS ANIMAS,LAS ANIMAS,CO,317066,0,4,121,N
2015,0000006091,1,75-0115555,FIRST NATIONAL BANK OF ANSON,P O BOX 672,ANSON,TX,79501-0672,,,,,,FIRST NB,ANSON,TX,62232,0,2,63,N
2015,0000006101,1,48-0467060,FIRST NATIONAL BANK OF KANSAS,600 N 4TH STREET,BURLINGTON,KS,66839,,,,,,FIRST NB OF KS,BURLINGTON,KS,71239,0,4,25,N
2015,0000006112,1,74-0606995,NEWFIRST NATIONAL BANK,202 E. JACKSON STREET,EL CAMPO,TX,77437,,,,,,NEWFIRST NB,EL CAMPO,TX,617095,0,2,96,N
2015,0000006207,1,58-0330052,QUEENSBOROUGH NB&TC,208 E  7TH STREET,LOUISVILLE,GA,30434,,,,,,QUEENSBOROUGH NB&TC,LOUISVILLE,GA,842864,0,2,1016,N
2015,0000006221,1,47-0227675,FIRST NATIONAL BANK NORTHEAST,PO BOX 9,LYONS,NE,68038,,,,,,FIRST NB NORTHEAST,LYONS,NE,297500,0,4,25,N
2015,0000006375,1,36-1060090,FARMERS NATIONAL BANK,114 W 3RD ST,PROPHETSTOWN,IL,61277,,,,,,FARMERS NB,PROPHETSTOWN,IL,533488,0,3,201,N
2015,0000006417,1,41-0406600,MINNESOTA NATIONAL BANK,235 MAIN STREET - PO BOX 306,SAUK CENTRE,MN,56378,,,,,,MINNESOTA NB,SAUK CENTRE,MN,223370,0,3,176,N
