Activity Year, Respondent ID, Agency Code, Federal Tax ID, Respondent Name, Respondent Mailing Address, Respondent City, Respondent State, Respondent ZIP Code, Parent Name, Parent Address, Parent City, Parent State, Parent ZIP Code,LAR Count
2017,0000009388,3,44-0211875,The Cornerstone Bank,117 N. Main,Southwest City,MO,64863,na,na,na,,,106
2017,0000004365,5,46-0235529,BLACK HILLS FEDERAL CREDIT UNI,PO BOX 1420-225 MAIN ST,RAPID CITY,SD,57709,,,,,,929
2017,0000708028,1,38-2524834,"STERLING BANK & TRUST, FSB","One Towne Square, Suite 1900",Southfield,MI,48076,,,,,,3088
2017,27-0993345,7,27-0993345,"PREMIER LENDING, INC","1199 HOWARD AVE, STE 200",BURLINGAME,CA,94010,,,,,,597
2017,0000702454,1,22-0900560,COLUMBIA BANK,19-01 Route 208,Fair Lawn,NJ,07410,"Columbia Financial, Inc",19-01 RT. 208,Fair Lawn,NJ,07410,1836
2017,20-3388468,7,20-3388468,JFK FINANCIAL INC,8985 S EASTERN AVE #325,LAS VEGAS,NV,89123,,,,,,891
2017,0000016479,5,63-0508898,Four Seasons Federal Credit Union,2915 Pepperell Parkway,Opelika,AL,36801,,,,,,1
2017,80-0832417,7,80-0832417,A&D MORTGAGE LLC,1040 S. FEDERAL HWY,HOLLYWOOD,FL,33020,,,,,,611
2017,0000012072,1,92-0006595,FIRST NATIONAL BANK ALASKA,"101 W 36TH AVE, STE 305",ANCHORAGE,AK,99503,,,,,,821
2017,04-3568208,7,04-3568208,"One Reverse Mortgage, LLC","4445 Eastgate Mall, Suite 320",San Diego,CA,92121,,,,,,506
2017,0000030698,3,62-0529262,FIRST ADVANTAGE BANK,1430 MADISON STREET,CLARKSVILLE,TN,37040,,,,,,4928
2017,0000004365,3,35-0508403,FIRST MERCHANTS BANK,200 E. Jackson St.,Muncie,IN,47305,,,,,,5091
2017,0000176101,2,14-0945678,ORANGE BANK & TRUST COMPANY,212 DOLSON AVENUE,MIDDLETOWN,NY,10940,"ORANGE COUNTY BANCORP, INC.",PO BOX 790,MIDDLETOWN,NY,10940,63
2017,0000023926,1,41-0257170,WOODLANDS NATIONAL BANK,122 East Main Street  P.O. Box 190,Hinckley,MN,55037,,,,,,141
2017,0000028515,3,74-0580531,"TRUSTTEXAS BANK, SSB","121 E Courthouse St, P O Box 808",Cuero,TX,77954,TrustTexas Mutual Holding Co,121 E Courthouse,Cuero,TX,77954,125
2017,0000016168,5,58-0957096,GEOVISTA CREDIT UNION,POST OFFICE BOX 132,HINESVILLE,GA,31313-0132,,,,,,31
2017,0000010465,5,99-0087313,University of Hawaii Federal C,P.O. Box 22070,Honolulu,HI,96823,,,,,,272
2017,0000035095,3,54-1910608,TOWNEBANK,5716 High Street West,Portsmouth,VA,23703,,,,,,13048
2017,0000068667,5,41-0518425,SOUTHPOINT FINANCIAL CU,924 MAIN STREET E,SLEEPY EYE,MN,56085,,,,,,763
2017,4264709990,7,25-1438513,West Penn Financial,2250 Babcock Blvd,Pittsburgh,PA,15237-3218,,,,,,1314
2017,0000013897,3,44-0243090,Farmers State Bank,124 E 3rd St.,Cameron,MO,64429,,,,,,331
2017,0000014749,3,71-0009740,River Town Bank,PO Box 577,Dardanelle,AR,72834-0577,Bank of Dardanelle Bankshares Inc,PO Box 577,Dardanelle,AR,72834-0577,85
2017,0000024080,1,48-1238548,Community First National Bank,215 S Seth Child Rd,Manhattan,KS,66502,,,,,,1658
2017,0000065378,5,48-0542669,MID AMERICAN CREDIT UNION,8404 W. KELLOGG DR.,WICHITA,KS,67209,,,,,,328
2017,0000014894,3,61-0188940,THE FARMERS BANK,200 North Main St,Nicholasville,KY,40356,The Farmers Bancorp,P O Box 340,Nicholasville,KY,40340,122
2017,20-5479066,7,20-5479066,FIRST STANDARD FINANCIAL CORP.,"3435 WILSHIRE BOULEVARD, #470",LOS ANGELES,CA,90010,,,,,,152
2017,0000068668,5,94-1175509,1st Northern California Credit,1111 Pine Street,Martinez,CA,94553,,,,,,113
2017,0000063196,5,93-0163693,SELCO Community Credit Union,PO Box 7487,Springfield,OR,97475,,,,,,201
2017,0000018710,5,22-1866976,GARDEN SAVINGS FEDERAL CREDIT UNION,Littleton Road,Parsippany,NJ,07054,,,,,,182
2017,0000034711,3,25-0471835,Farmers Building &Savings Ban,290 West Park,Rochester,PA,15074,,,,,,57
2017,0000000624,5,53-0197042,UNITED STATES SENATE FCU,2750 EISENHOWER AVENUE,ALEXANDRIA,MD,22314,,,,,,2246
2017,0000015164,3,48-0216720,THE FARMERS STATE BANK OF WESTMORELAND,"307 Main ST, PO Box 330",Westmoreland,KS,66549,,,,,,80
2017,46-2888046,7,46-2888046,"LOANSTAR HOME LOANS, LLC",9020 SW WASHINGTON SQUARE RD SUITE 350,PORTLAND,OR,97223,,,,,,5037
2017,0000000903,3,36-0721895,AMALGAMATED BANK OF CHICAGO,30 N LaSalle ST,Chicago,IL,60602-2500,Amalgamated Investments Comp,30 N LaSalle St,Chicago,IL,60602,57
2017,0002182786,9,13-3571598,Goldman Sachs Bank USA,200 West Street,New York,NY,10282,"The Goldman Sachs Group, Inc.",200 West Street,New York,NY,10282,638
2017,0000024716,1,20-8502680,AMERICAN PLUS BANK N.A.,630 WEST DUARTE ROAD,ARCADIA,CA,91007,,,,,,46
2017,0000031469,3,66-0259436,ORIENTAL BANK,PO BOX 195115,SAN JUAN,PR,00919-5115,,,,,,9516
2017,23-3102701,7,23-3102701,FIRST HERITAGE FINANCIAL LLC,2655 NESHAMINY INTERPLEX DR - STE 105,TREVOSE,PA,19053,,,,,,490
2017,0000057091,3,62-6374017,Cumberland Bank and Trust,502 Madison Street,Clarksville,TN,37040-3671,,,,,,202
2017,0000014260,3,73-0500577,Walters Bank &  Trust,201 N Broadway,Walters,OK,73572,,,,,,55
2017,0000013116,1,41-0607570,Western National Bank,PO Box 16050,Duluth,MN,55816,,,,,,65
2017,0000028362,3,85-0056050,Century Bank,PO Box 1507,Santa Fe,NM,87504-1507,Century Financial Services Inc.,100 S Federal Place,Santa Fe,NM,87501,86
2017,46-1770128,5,46-1770128,"ECU MORTGAGE, LLC","16430 PARK TEN PLACE, SUITE 650",HOUSTON,TX,77084,First Service Credit Union,"16430 Park Ten Place, 5th Floor",Houston,TX,77084,411
2017,0000064275,5,35-1079390,Public Service Credit Union,4025 W Jefferson BLVD,Fort Wayne,IN,46804,,,,,,88
2017,56-2007637,7,56-2007637,CORPORATE INVESTORS MORTGAGE,1414 RALEIGH RD STE 400,CHAPEL HILL,NC,27517,,,,,,1537
2017,0000017642,5,63-0513743,ARMY AVIATION CENTER FCU,238 VIRGINIA AVENUE,DALEVILLE,AL,36322,,,,,,510
2017,0000010380,3,39-0518520,OOSTBURG STATE BANK,905 CENTER AVE,OOSTBURG,WI,53070,,,,,,163
2017,0000618740,2,61-0297243,FIELD & MAIN BANK,140 N. MAIN ST.,HENDERSON,KY,42420,,,,,,329
2017,0000001115,5,59-0907473,Coastline Fedeal Credit Union,8011 Philips Hwy,Jacksonville,FL,32256,,,,,,59
2017,0000704171,1,34-0347710,FIRST FEDERAL SAVINGS LOAN,3721 OBERLIN AVE,LORAIN,OH,44053,,,,,,415
2017,0000058712,3,26-1916460,FREEDOM BANK,99 W ESSEX STREET 2ND FL,MAYWOOD,NJ,07607,,,,,,113
2017,0002360904,2,36-3958403,Pacific Global Bank,2323 S Wentworth Ave.,Chicago,IL,60616,,,,,,254
2017,0000023574,1,36-4196863,CRYSTAL LAKE BANK AND TRUST,70 N. Williams,Crystal Lake,IL,60014,Wintrust Financial Corporation,"9700 W Higgins Rd, Suite 0400",Rosemont,IL,60018,28
2017,0000002467,3,39-0210140,Citizens State Bank,304 N Main Street,Cadott,WI,54727-0066,Citizens Bancorp Inc,304 N Main Street,Cadott,WI,54727-0066,163
2017,0000140018,2,24-0638040,LAFAYETTE AMBASSADOR BANK,2005 City Line Rd,Bethlehem,PA,18017,Fulton Financial Corporation,One Penn Square,Lancaster,PA,17604,369
2017,0000068460,5,95-1644568,LBS FINANCIAL CREDIT UNION,5505 GARDEN GROVE BLVD,WESTMINSTER,CA,92683,,,,,,337
2017,0000025088,1,39-0859926,CITIZENS COMMUNITY FEDERAL NA,219 Fairfax Street,Altoona,WI,54720,,,,,,566
2017,0000008221,1,37-0269515,THE FARMERS AND MERCHANTS NATIONAL BANK OF NASHVILLE,120 West St. Louis Street,Nashville,IL,62263,"Farmers and Merchants Bancshares, Inc.",PO Box 309,Nashville,IL,62263,123
2017,0000028262,3,24-0568185,ESSA BANK & TRUST,200 Palmer Street,Stroudsburg,PA,18360,ESSA Bank & Trust,200 Palmer St,Stroudsburg,PA,18360,945
2017,0000000077,3,63-0015200,BankSouth,P O Box 1967,Dothan,AL,36302-1967,BancSouth Corporation,3251 Ross Clark Circle,Dothan,AL,36303,58
2017,0000008898,3,43-0492940,ST JOHNS B&TC,8924 ST CHARLES ROCK RD,ST LOUIS,MO,63114-4238,ST JOHNS BANCSHARES,1053 CAVE SPRINGS BLVD,ST PETERS,MO,63376-6432,95
2017,0000403151,2,47-0341288,CORNERSTONE BANK,529 SOUTH LINCOLN AVENUE,YORK,NE,68467,FIRST YORK BAN CORP.,PO BOX 69,YORK,NE,68467,439
2017,6451209990,7,95-3668884,SAN DIEGO FUNDING,2468 Historic Decator Drive Ste 160,San Diego,CA,92106,,,,,,617
2017,0000018408,3,01-0024610,BANGOR SAVINGS BANK,19 MAINE AVENUE,BANGOR,ME,04401,"BANGOR BANCORP, MHC",PO BOX 930,BANGOR,ME,04402,2914
2017,0000126049,2,71-0010140,BANK OF STAR CITY,PO BOX 69,STAR CITY,AR,71667,STAR CITY BANCSHARES,116 N LINCOLN AVE,STAR CITY,AR,71667,99
2017,0000013625,3,85-0036360,Farmers & Stockmens Bank,22 Maple Street,Clayton,NM,88415,Central Bancorp,1 South Nevada Avenue Ste 100,Colorado Springs,CO,80903,1
2017,0000687951,2,45-0279825,FIRST WESTERN BANK & TRUST,900 SOUTH BROADWAY,MINOT,ND,58701-4658,,,,,,156
2017,0000014328,1,72-0185280,FIRST NATIONAL BANK,2001 NORTH TRENTON STREET,RUSTON,LA,71270,"LOUISIANA BANCSHARES, INC",1890 NORTH RAILROAD AVE,ARCADIA,LA,71001,209
2017,0000185859,2,43-0379825,Lindell Bank,6900 Clayton Ave.,St. Louis,MO,63139,,,,,,167
2017,0000012425,5,95-2131131,FOOTHILL FEDERAL CREDIT UNION,30 S. FIRST AVENUE,ARCADIA,CA,91006,,,,,,199
2017,0000023091,3,84-0788527,ALPINE BANK,2200 GRAND AVENUE,GLENWOOD SPRINGS,CO,81601,,,,,,1226
2017,0000008200,3,41-0190880,CITIZENS BANK MINNESOTA,105 NORTH MINNESOTA STREET,NEW ULM,MN,56073,"CITIZENS BANCORP OF NEW ULM, I",105 NORTH MINNESOTA STREET,NEW ULM,MN,56073,235
2017,0000063648,5,25-1086321,Erie Community Credit Union,1129 State Street,Erie,PA,16501,,,,,,39
2017,0000008345,1,55-0169036,FAYETTE COUNTY NATIONAL BANK,PO BOX 209,FAYETTEVILLE,WV,25840,FCNB BANCORP INC,PO BOX 209,FAYETTEVILLE,WV,25840,187
2017,0000197478,9,95-2795851,EAST WEST BANK,135 NORTH LOS ROBLES AVENUE,PASADENA,CA,91101,,,,,,4626
2017,0000057777,3,32-0116054,Meridian Bank,9 Old Lincoln Highway,Malvern,PA,19355,,,,,,4484
2017,0000033880,3,39-1775770,WISCONSIN RIVER BANK,"608 Phillips Boulevard, P.O. Box 636",Sauk City,WI,53583-0636,River Holding Company,"145 Main Street, P. O. Box 280",Stoddard,WI,54658,143
2017,0000068571,5,58-6034116,Credit Union of Georgia,3048 Eagle Drive,WOODSTOCK,GA,30189,,,,,,21
2017,04-3554784,7,04-3554784,MSA MORTGAGE LLC,5 FREMONT STREET,WINTHROP,MA,02152,,,,,,854
2017,0000011634,3,42-0553045,FIRST STATE BANK,"PO Box 206, 1150 W 1st St",Sumner,IA,50674,PSB Corporation,414 North Adams,Wellsburg,IA,50680,47
2017,0000065597,5,21-0628526,Credit Union of New Jersey,1301 Parkway Ave,Ewing,NJ,08628,,,,,,315
2017,0000030085,3,23-1580399,COATESVILLE SAVINGS BANK,185 EAST LINCOLN HIGHWAY,COATESVILLE,PA,19320,,,,,,98
2017,0000023376,3,63-0800802,First Jackson Bank,43243 U S Highway 72,Stevenson,AL,35772,,,,,,180
2017,0000947776,2,27-2499211,CHARLES RIVER BANK,70 MAIN ST,MEDWAY,MA,02053,,,,,,167
2017,20-4929859,7,20-4929859,"MUSA FINANCIAL, LLC",4455 LBJ FREEWAY STE 1200,DALLAS,TX,75244,,,,,,689
2017,0002687133,2,42-1476537,Premier Bank,2625 NW Arterial,Dubuque,IA,52002-0502,Premier Financial Corp,2625 NW Arterial,Dubuque,IA,52002-0502,115
2017,26-4030355,3,26-4030355,"POTOMAC MORTGAGE GROUP, INC","4035 RIDGE TOP ROAD, SUITE 100",FAIRFAX,VA,22030,MVB BANK,301 VIRGINIA AVENUE,FAIRMONT,WV,26554,5149
2017,0000700470,1,55-0199620,HUNTINGTON FEDERAL,1049 5TH AVE,HUNTINGTON,WV,25701,,,,,,343
2017,0000704246,1,61-0228640,Town Square Bank,1500 Carter Avenue,Ashland,KY,41105,,,,,,312
2017,47-2137405,7,47-2137405,Gibraltar Mortgage Services,5120 Woodway Drive Suite #5020,Houston,TX,77056,,,,,,924
2017,0000017169,3,72-0449829,State Bank & Trust Company,1614 South Bayou Drive,Golden Meadow,LA,70357,,,,,,40
2017,75-2695327,7,75-2695327,"EVERETT FINANCIAL, INC. DBA SU","14801 QUORUM DRIVE, SUITE 300",DALLAS,TX,75254,,,,,,49586
2017,0000015809,3,74-0890992,Security State Bank & Trust,201 West Main Street,Fredericksburg,TX,78624,,,,,,343
2017,0000712423,1,42-0431125,MIDWEST HERITAGE BANK FSB,"3580 EP TRUE PKWY, STE 100",WEST DES MOINES,IA,50265,,,,,,543
2017,0000057135,3,57-1118644,CRESCOM BANK,288 MEETING ST,CHARLESTON,SC,29401,CAROLINA FINANCIAL CORPORATION,288 MEETING ST,CHARLESTON,SC,29401,1140
2017,0000065013,5,25-1359287,Holly N. Smith,1152 Franklin Street,Johnstown,PA,15905,HealthCare First CU,,,,,22
2017,0000064380,5,42-0214646,DES MOINES METRO CU,100 UNIVERSITY AVENUE,Des Moines,IA,50314,,,,,,44
2017,0000018355,3,75-1051036,North Dallas Bank & Trust Co.,12900 Preston Rd,Dallas,TX,75230,,,,,,237
2017,0000067470,5,75-6016747,AMERICA'S CREDIT UNION,2154 FOREST LN.,GARLAND,TX,75042,,,,,,62
2017,63-1052225,7,63-1052225,"CIS Financial Services, Inc.",851 Military Street N,Hamilton,AL,35570,,,,,,3970
2017,05-0490825,7,05-0490825,"Homestar Mortgage, Inc.",220 Smith Street,Providence,RI,02908,Pam DiLorenzo,220 Smith Street,Providence,RI,02908,234
2017,20-4866754,7,20-4866754,"MIDWEST EQUITY MORTGAGE, LLC",2001 Spring Rd Suite 100,Oak Brook,IL,60523,,,,,,5635
2017,0000045551,2,41-0256760,Bank Midwest,1525 18th Street Suite 100,Spirit Lake,IA,51360,Goodenow Bancorporation,1102 Sanborn Avenue PO Box 979,Okoboji,IA,51355,285
2017,0000064606,5,23-0338105,Lehigh Valley Educators Credit Union,3720 Hamilton Boulevard,Allentown,PA,18103,,,,,,99
2017,0000058481,3,20-8164471,FIRST BANK,2465 KUSER ROAD,HAMILTON,NJ,08690-3303,,,,,,58
2017,0000009536,3,39-0634530,COMMUNITY STATE BANK,1500 MAIN STREET,UNION GROVE,WI,53182,Union Bancorporation,1500 Main Street,Union Grove,WI,53182,271
2017,0000196800,2,04-2188463,Marthas Vineyard Savings Bank,496 State Road; PO Box 610,West Tisbury,MA,02575,Martha's Vineyard Savings Bank,PO Box 1069,Edgartown,MA,02539,284
2017,30-0382471,7,30-0382471,Pilgrim Mortgage LLC,1270 N Loop 1604 E STE 1101,San Antonio,TX,78259,Pilgrim Mortgage,,,,,1
2017,0000659855,2,81-0192860,FIRST INTERSTATE BANK,PO BOX 30918,BILLINGS,MT,59116-0918,,,,,,7072
2017,0000060934,5,63-0021787,ALATRUST CREDIT UNION,1810 Merchants Drive,Hoover,AL,35244,,,,,,83
2017,0000066350,5,04-1126132,BROTHERHOOD CREDIT UNION,75 MARKET ST,LYNN,MA,01901,,,,,,14
2017,0000014507,3,55-0143757,CNB BANK INC.,101 S WASHINGTON STREET,BERKELEY SPRINGS,WV,25411,,,,,,376
2017,0000068565,5,84-0459116,ELEVATION CREDIT UNION,1 ENVIRONMENTAL WAY,BROOMFIELD,CO,80021,,,,,,4926
2017,0000680457,2,81-0211310,Yellowstone Bank,12 First Ave,Laurel,MT,59044,Yellowstone Holding Company,544 Pike Ave,Columbus,MT,59019,507
2017,0000058208,3,20-2432282,FIRST FREEDOM BANK,1620 WEST MAIN ST,LEBANON,TN,37087,"FIRST FREEDOM BANCSHARES, INC.",PO BOX 100,LEBANON,TN,37088-0100,1512
2017,0000068608,5,74-1109882,Texell Credit Union,PO Box 983,Temple,TX,76503,,,,,,201
2017,45-4595995,7,45-4595995,GET A RATE LLC,"200 RIVERFRONT BLVD, STE 100",ELMWOOD PARK,NJ,07407,,,,,,647
2017,0000024553,5,95-1683316,LOS ANGELES POLICE FEDERAL CU,16150 SHERMAN WAY,VAN NUYS,CA,91406,,,,,,706
2017,0000009998,3,55-0136805,CAPON VALLEY BANK,PO BOX 119,WARDENSVILLE,WV,26851-0119,"HIGHLANDS BANKSHARES, INC",PO BOX 929,PETERSBURG,WV,26847-0929,122
2017,0000018394,1,48-0976372,Community National Bank,210 Main Street,Seneca,KS,66538,,,,,,151
2017,0000066346,5,04-6061145,River Works Credit Union,947 Western Ave,Lynn,MA,01905,,,,,,1
2017,38-3922561,7,38-3922561,"GROUP MORTGAGE, LLC",2803 EAST HARMONY ROAD,FORT COLLINS,CO,80528,CORNERSTONE MTG PARTNERS LLC,"1177 WEST LOOP SOUTH, SUITE 200",HOUSTON,TX,77027,803
2017,0000060801,5,95-1209332,USE CREDIT UNION,"10120 PACIFIC HEIGHTS BLVD, SUITE 100",SAN DIEGO,CA,92121,,,,,,420
2017,66-0228482,7,66-0228482,COOP A/C RINCON,PO BOX 608,RINCON,PR,00677,,,,,,186
2017,0000009788,3,43-0169770,BLOOMSDALE BANK,"55 Mill Hill Road, P. O. Box 100",Bloomsdale,MO,63627,"Peoples Community Bancorporation, Inc.",55 Mill Hill Road,Bloomsdale,MO,63627,180
2017,0000269049,2,42-0183300,VisionBank of Iowa,104 Chestnut St,Ames,IA,50010,,,,,,190
2017,0000048374,2,71-0056740,FIRST FINANCIAL BANK,214 N Washington Street,El Dorado,AR,71730,,,,,,1120
2017,0000009366,3,64-0220470,Peoples Bank,PO Box 7,Mendenhall,MS,39114,Peoples Bancshares,PO Box 7,Mendenhall,MS,39114,812
2017,0000068646,5,38-1439120,Financial Plus Credit Union,"G-3381 Van Slyke Rd, P.O. Box 7006",Flint,MI,48507,,,,,,510
2017,0000023621,3,04-3312097,BERKSHIRE BANK,PO 1308,Pittsfield,MA,01202-1308,,,,,,3050
2017,0000058279,3,20-4877174,The Commerce Bank,PO Box 3729,Evansville,IN,47736,First Light Bancorp,PO Box 3729,Evansville,IN,47736,122
2017,0000002440,5,14-1345856,First New York FCU,2 Wall Street,Albany,NY,12205,,,,,,98
2017,0000014384,5,95-2148515,MISSION FEDERAL CREDIT UNION,5785 OBERLIN DRIVE,SAN DIEGO,CA,92121,,,,,,2233
2017,0000014688,1,36-2245476,ALBANY BANK AND TRUST COMPANY,3400 W. LAWRENCE AVENUE,CHICAGO,IL,60625,,,,,,48
2017,0000067865,5,74-6054885,CAPITOL CREDIT UNION - BURNET BRANCH,11902 A BURNET RD,AUSTIN,TX,78758,,,,,,88
2017,0000033708,3,36-3842292,International Bank of Chicago,5069 North Broadway,Chicago,IL,60640,"IBC Bankcorp, Inc.",5069 North Broadway,Chicago,IL,60640,201
2017,0000014898,1,75-1047436,COMMUNITY NATIONAL BANK & TRUS,PO BOX 624,CORSICANA,TX,75151,COMMUNITY BANK HOLDINGS OF TEX,321 N 15TH ST,CORSICANA,TX,75110,316
2017,0000011236,3,39-0356800,Horicon Bank,"326 E Lake St, PO Box 144",Horicon,WI,53032,SWORD FINANCIAL COROPRATION,PO Box 144,Horicon,WI,53032,538
2017,0000005766,3,35-0576870,MAINSOURCE,2105 N STATE RD 3 BYPASS,GREENSBURG,IN,47240,"MainSource Financial Group, In",2105 North State Rd 3 Bypass,Greensburg,IN,47240,4304
2017,33-1131083,7,33-1131083,iApprove Lending,3130 S HARBOR BLVD STE 520,SATNA ANA,CA,92704,,,,,,400
2017,20-2053401,7,20-2053401,"1ST ALLIANCE LENDING, LLC","111 FOUNDERS PLAZA, SUITE 1300",EAST HARTFORD,CT,06108,,,,,,4246
2017,0000022905,1,58-2207255,QUANTUM NATIONAL BANK,505 PEACHTREE INDUSTRIAL BLVD,SUWANEE,GA,30024,,,,,,88
2017,0000001409,3,41-0257104,Kensington Bank,11 North Central Ave,Kensington,MN,56343,"Kensington Bancorp, Inc.",11 North Central Ave,Kensington,MN,56343,57
2017,0000007714,3,23-0995065,QNB BANK,P.O. BOX 9005,QUAKERTOWN,PA,18951,QNB CORP.,"320 W. BROAD ST., P.O. BOX 9005",QUAKERTOWN,PA,18951,347
2017,58-0521233,7,58-0521233,1st Franklin Financial Corporation,135 E. Tugalo St.,Toccoa,GA,30577,,,Toccoa,GA,30577,1283
2017,0000014532,1,44-0511658,FIRST NATIONAL BANK OF CLINTON,107 S SECOND ST,CLINTON,MO,64735,,,,,,105
2017,0000028396,3,57-0921408,First Palmetto Bank,407 E DeKalb Street,Camden,SC,29020,,,,,,276
